fid	location	lng	lat	accuracy
1538	"Fort Washington, Maryland"	-77.0230313	38.7073379	4
1539	"Reston, Virginia"	-77.3570028	38.9586307	4
1540	Vermont	-72.5778415	44.5588028	2
3056	"New York, NY"	-74.0059731	40.7143528	4
3057	"New York, NY"	-74.0059731	40.7143528	4
3058	"Bronx, NY 10470"	-73.866667	40.85	4
3059	Indianapolis	-86.1579557	39.7685825	4
3060	"New York, Inna Yu Madda"	-74.0059731	40.7143528	4
3061	"New York, New York"	-74.0059731	40.7143528	4
3062	NYC 	-74.0059731	40.7143528	4
3063	"Dutton, Michigan"	-85.91692	34.6109183	4
3064	"New York, New York"	-74.0059731	40.7143528	4
3065	New York	-74.0059731	40.7143528	4
3066	New York	-74.0059731	40.7143528	4
3067	"New York,  USA"	-74.0059731	40.7143528	4
3068	"New York, NY"	-74.0059731	40.7143528	4
3069	New York	-74.0059731	40.7143528	4
3070	"Bexley, Ohio USA"	0.154327	51.439933	4
3071	"Monterrey, Mexico"	-100.309201	25.6732109	4
3072	New York City	0	0	0
3073	New York City	0	0	0
3074	"??T: 40.856176,-73.872346"	34.81035	31.198032	6
3075	"??T: 40.754885,-73.975506"	34.81035	31.198032	6
3076	"Doha, Qatar"	51.522476	25.280282	4
3077	New York	-74.0059731	40.7143528	4
3078	"New York, NY"	-74.0059731	40.7143528	4
3079	New York	-74.0059731	40.7143528	4
3080	New York	-74.0059731	40.7143528	4
3081	New York City	0	0	0
3082	"New York, NY"	-74.0059731	40.7143528	4
3083	"??T: 40.760428,-73.976293"	34.81035	31.198032	6
3084	"Jamaica, Queens"	-77.297508	18.109581	1
3085	"New York, NY"	-74.0059731	40.7143528	4
3086	"New York, NY"	-74.0059731	40.7143528	4
3087	"New York, NY"	-74.0059731	40.7143528	4
3088	NYC	-74.0059731	40.7143528	4
3089	NY	-74.0059731	40.7143528	4
3090	"New York, NY"	-74.0059731	40.7143528	4
3091	"New York, NY"	-74.0059731	40.7143528	4
3092	New York	-74.0059731	40.7143528	4
3093	"New York, New York"	-74.0059731	40.7143528	4
3094	"New York, NY"	-74.0059731	40.7143528	4
3095	New York	-74.0059731	40.7143528	4
3096	NOLA	7.5710591	45.2413798	4
3097	New York City	0	0	0
3098	Greater New York region	-73.9071614	40.743686	9
3099	New York	-74.0059731	40.7143528	4
3100	New York	-74.0059731	40.7143528	4
3101	n/a	-69.6691186	-38.8233843	2
3102	New York	-74.0059731	40.7143528	4
3103	New York	-74.0059731	40.7143528	4
3104	Wall St.	0	0	0
3105	"New York, USA"	-74.0059731	40.7143528	4
3106	New York	-74.0059731	40.7143528	4
3107	New York	-74.0059731	40.7143528	4
3108	New York	-74.0059731	40.7143528	4
3109	Boss city	0	0	0
3110	"New York, NY"	-74.0059731	40.7143528	4
3111	New York	-74.0059731	40.7143528	4
3112	New york	-74.0059731	40.7143528	4
3113	New York	-74.0059731	40.7143528	4
3114	"??T: 40.8418099,-73.9216081"	34.81035	31.198032	6
3115	NYC | Shanghai	-73.9457999	40.7752104	9
3116	"New York, NY"	-74.0059731	40.7143528	4
3117	"New York, NY"	-74.0059731	40.7143528	4
3118	New York	-74.0059731	40.7143528	4
3119	"New York City, USA"	0	0	0
3120	"??T: 40.871222,-73.841804"	34.81035	31.198032	6
3121	"OH, NY"	-82.907123	40.4172871	2
3122	NYC	-74.0059731	40.7143528	4
3123	New York	-74.0059731	40.7143528	4
3124	New York	-74.0059731	40.7143528	4
3125	New York	-74.0059731	40.7143528	4
3126	NY	-74.0059731	40.7143528	4
3127	NYC	-74.0059731	40.7143528	4
3128	New York	-74.0059731	40.7143528	4
3129	New York	-74.0059731	40.7143528	4
3130	NY	-74.0059731	40.7143528	4
3131	"New York, NY"	-74.0059731	40.7143528	4
3132	"New York, USA"	-74.0059731	40.7143528	4
3133	"New York, NY"	-74.0059731	40.7143528	4
3134	New York City	0	0	0
3135	"New York, NY"	-74.0059731	40.7143528	4
3136	New York	-74.0059731	40.7143528	4
3137	n/a	-69.6691186	-38.8233843	2
3138	New York	-74.0059731	40.7143528	4
3139	New York	-74.0059731	40.7143528	4
3140	New York City	0	0	0
3141	"NY, America"	-74.0059731	40.7143528	4
3142	New York	-74.0059731	40.7143528	4
3143	"Jamaica, Queens"	-77.297508	18.109581	1
3144	"New York, NY"	-74.0059731	40.7143528	4
3145	New York City	0	0	0
3146	New York	-74.0059731	40.7143528	4
3147	"CD.NEZA,.BRONX NY,.HOUSTON,."	26.47315	2.831388	4
3148	New York	-74.0059731	40.7143528	4
3149	"43.846532,-79.283183"	0	0	0
3150	New York	-74.0059731	40.7143528	4
3151	Michigan	-85.6023643	44.3148443	2
3152	"catalina foothills, az."	-110.9187037	32.297853	4
3153	"New York, NY"	-74.0059731	40.7143528	4
3154	"New York, NY"	-74.0059731	40.7143528	4
3155	New York	-74.0059731	40.7143528	4
3156	"New York, NY"	-74.0059731	40.7143528	4
3157	New York City	0	0	0
3158	"New York City, NY"	0	0	0
3998	"burlington,ma"	-73.212072	44.4758825	4
3999	Boston	-71.0597732	42.3584308	4
4000	"Boston,Ma"	-71.0597732	42.3584308	4
4001	"Boston, MA"	-71.0597732	42.3584308	4
4002	Boston	-71.0597732	42.3584308	4
4003	"Boston,Ma"	-71.0597732	42.3584308	4
4004	"Boston, MA"	-71.0597732	42.3584308	4
4005	Boston Ma	-71.0597732	42.3584308	4
4006	Boston Ma	-71.0597732	42.3584308	4
4007	Boston Ma	-71.0597732	42.3584308	4
4008	"Boston, MA"	-71.0597732	42.3584308	4
4009	"Milton, MA"	-79.8774042	43.5182991	4
4010	"Weymouth, MA"	-2.457621	50.6144279	4
4011	Boston	-71.0597732	42.3584308	4
4012	"Boston,Ma"	-71.0597732	42.3584308	4
4013	"Boston, MA"	-71.0597732	42.3584308	4
4014	"Walpole, MA"	-71.2495096	42.1417442	4
4015	"Boston, MA"	-71.0597732	42.3584308	4
4016	"Boston, MA"	-71.0597732	42.3584308	4
4017	"Boston,usa"	-71.0597732	42.3584308	4
4018	"Boston,Ma"	-71.0597732	42.3584308	4
4019	"Boston, Dedham, MA"	-71.0597732	42.3584308	4
4020	"Boston,Ma"	-71.0597732	42.3584308	4
4021	"iPhone: 42.341812,-71.077438"	0	0	0
4022	"Boston,Ma"	-71.0597732	42.3584308	4
4023	"Boston, MA"	-71.0597732	42.3584308	4
