FID,location,
7794,"Berkeley, CA",
7795,"San Francisco, CA",
7796,n/a,
7797,San Francisco,
7798,San Francisco ,
7799,San Francisco ,
7800,San Francisco,
7801,"San Francisco, California",
7802,"San Francisco, CA",
7803,San Francisco,
7804,n/a,
7805,UK,
7806,San Francisco,
7807,San Francisco,
7808,San Francisco,
7809,San Francisco,
7810,"San Francisco, Ca",
7811,"San Francisco, CA",
7812,"San Francisco, CA",
7813,San Francisco,
7814,"San Francisco, CA",
7815,"San Francisco, CA",
7816,"Oakland, CA",
7817,San Francisco,
7818,San Francisco,
7819,"San Francisco, CA",
7820,San Francisco,
7821,san francisco,
7822,"San Francisco, CA",
7823,"San Francisco, CA",
7824,"San Francisco, CA",
7825,San Francisco,
7826,San Francisco,
7827,"BAY AREA, CALIFORNIA",
7828,San Francisco,
7829,San Francisco,
7830,San Francisco,
7831,San Francisco,
7832,San Francisco Bay Area,
7833,Classified.,
7834,"San Francisco, CA",
8359,"Philadelphia, PA",
8360,n/a,
8361,n/a,
8362,"philadelphia,pa",
8363,"Mount Laurel, NJ",
8364,Philadelphia Area,
8365,"Doha, Qatar",
8366,Philly,
8367,Philadelphia,
8368,"Mount Laurel, NJ",
8369,"Philadelphia, PA",
8370,PHL,
8371,Philly,
8372,"philadelphia,pa",
8373,philly,
8374,"philadelphia,pa",
8375,"Mount Laurel, NJ",
8376,Philadelphia,
8377,"Ambler, PA",
8378,"Ambler, PA",
8379,Philly,
8380,"Doha, Qatar",
8381,Philly,
8382,"Philadelphia, PA",
8383,Philadelphia Area,
8384,Philly,
8385,"??T: 39.900765,-74.905688",
8386,"Philadelphia, PA",
8387,"Magnolia, NJ",
8388,n/a,
8389,"Haddonfield, NJ",
8390,"Woodbury, NJ",
8391,philly,
8392,"Philadelphia, PA",
8393,"Philadelphia, PA",
8394,"Mount Laurel, NJ",
8395,"philadelphia,pa",
8767,"Phoenix, AZ",
8768,"Scottsdale, AZ",
8769,"Phoenix, Arizona ",
8770,"Phoenix, Arizona",
8771,"Phoenix, AZ",
8772,"Phoenix, Arizona",
8773,"Phoenix, Arizona",
8774,"Phoenix, Arizona",
8775,Mesa,
8776,"Phoenix, Arizona",
8777,"Phoenix, Arizona",
8778,Phoenix,
8779,"Phoenix, Arizona",
8780,"Peoria, AZ",
8781,"Phoenix, Arizona",
8782,Phoenix Arizona,
8783,"Phoenix
",
9122,"San Diego, CA",
9123,"San Diego, CA",
9124,n/a,
9125,"San Diego, CA",
9126,"San Diego, CA",
9127,"San Diego, CA",
9128,"San Diego, CA",
9129,"San Diego, CA",
9130,"San Diego, CA",
9131,"San Diego, Calif.",
9132,Pacific Beach,
9133,San Diego,
9134,"San Diego, California",
9135,"San Diego, CA",
9136,"San Diego, CA",
9920,"Irving, TX",
9921,"Dallas, TX",
9922,"Dallas, TX",
9923,"Grapevine, TX 76051",
9924,Dallas,
9925,DFW Texas,
9926,"Irving, TX",
9927,"Irving, TX",
9928,"Dallas,Texas",
9929,DFW Texas,
9930,"Irving, TX",
9931,"Irving, TX",
9932,DFW Texas,
9933,"Dallas, TX, USA",
9934,"Dallas, Tx",
9935,"Addison, Texas",
9936,"Rockwall, TX",
9937,"Grand Prairie,TX",
9938,"Dallas, TX",
9939,"Irving, Texas",
9940,DFW Metroplex,
9941,Dallas,
9942,DFW Texas,
9943,Dallas,
9944,"Irving, TX",
9945,Canada,
9946,DFW Texas,
9947,"Dallas,TX",
9948,Southwest,
9949,"Dallas,Texas",
9950,"Dallas, Texas",
9951,"Irving, TX",
9952,"Irving, TX",
9953,"Fort Worth, Texas",
9954,"Dallas, Texas",
9955,Dallas TX,
9956,"Dallas, TX",
9957,n/a,
9958,Dallas,
11455,Estado de M??xico,
11456,"Houston, TX",
11457,Houston Texas ,
11458,Worldwide,
11459,"Houston, TX",
11460,"Patterson, Louisiana, America",
11461,Worldwide,
11462,Worldwide,
11463,Houston,
11464,WORLDWIDE,
11465,"Mesa, Arizona",
11466,Worldwide,
11467,"Long Lake, Barrington NH",
11468,City of the Purple Sprite,
11469,Bay Area,
11470, Houston,
11471,Bay Area,
11472,Houston,
11473,Worldwide,
11474,"Houston, Texas",
11475,Worldwide,
11476,n/a,
11477,Worldwide,
11478,Houston Texas,
11479,Worldwide,
11480,Port Orange FL,
11481,Alabama,
11482,"Houston, Texas",
11483,Worldwide,
11484,Bay Area,
11485,n/a,
11486,"Katy, TX",
11487,"Dandridge, TN",
11488,Worldwide,
11489,"Pasadena, Texas",
11490,Houston Texas,
11491,"Houston, TX",
11492,Bay Area,
11493,LukeBryanLandd),
11494,hampton va ,
11495,"Ontario, Canada",
11496,"Pittsburgh, PA",
11497,n/a,
11498,indiana USA,
11499,"Your moms, canada  ",
11500,"Jacksonville, FL",
11501,"Houston, TX",
11502,Nebo,
11503,"Shreveport , Louisiana",
11504,"Goodyear, AZ ",
11505,n/a,
11506,Worldwide,
11507,"??T: -7.315396,112.672973",
11508,The Death Star ,
11509,Indiana,
11510,n/a,
11511,Worldwide,
11512,"China Grove,NC",
11513,"Florence, SC",
11514,Reading Eagle Company,
11515,"Pennsylvania, US",
11516,"Pittsburgh, PA",
11517,"Pittsburgh, PA",
11518,behind you,
11519,little town in CT,
11520,The Track,
11521,"Houston, TX",
11522,"Sarnia,Ontario,Canada",
11523,little town in CT,
11524,"Premont, TX",
11525,"Tulsa, Oklahoma",
11526,"Hertford, NC",
11527,Thompson CT,
11528," Toomsuba, MS 39364",
11529,"Magog ,Qu??bec,Canada",
11530,n/a,
11531,"Ciudad Ju??rez, M??xico",
11532,M??xico y la Selva del Seonee,
11533,PE/USA,
11534,USA Hispanic Latino Auto #1,
11535,"sonoma, CA",
11536,Estado de M??xico,
11537,"Mooresville, NC",
11538,W. Mass,
11539,"Houston, TX",
11540,Worldwide,
11541,"Houston, TX",
11542,WorldWide! ,
11543,Worldwide,
11544,Bay Area,
11545,Houston TX,
11546,Worldwide,
11547,Worldwide,
11548,NY,
11549,Worldwide,
11550,WorldWide! ,
11551,"Houston, Texas",
11552,"Houston,TX",
11553,Worldwide,
11554,Worldwide,
11555,Worldwide,
11556,"Houston, TX",
11557,Worldwide,
11558,"Houston, Texas",
11559,Bay Area,
11560,"Houston, Texas",
11561,Drunk In Houston ,
11562,North Of The Reliant,
11563,Drunk In Houston ,
11564,Houston Tx,
11565,WorldWide,
11566,Bay Area,
11567,"Houston, TX",
11568,Nascar Nation,
11569,"Houston, TX",
11936,New world ,
11937,"San Antonio, Tx",
11938,New world ,
11939,"San Antonio, Texas",
12539,"Seattle, WA",
12540,Seattle,
12541,"Seattle, WA",
12542,"Seattle, WA",
12543,"Renton, WA",
12544,"Seattle, WA",
12545,"Seattle, WA",
12546,Seattle,
12547,Seattle,
12548,Seattle,
12549,"Seattle, WA",
12550,Seattle,
12551,"Seattle, WA",
12552,"311 S Grady Way in Renton, WA",
12553,"Seattle, WA",
12554,South Carolina to Seattle,
12555,Seattle,
12556,"Seattle, WA",
12557,"Seattle, WA",
12558,Seattle,
12559,"Seattle, WA",
12560,"Renton, WA",
12561,Seattle,
12562,Seattle,
12563,Seattle,
12564,"Renton, WA",
12565,"Renton, WA",
12566,"Renton, WA",
12567,"Seattle, WA",
12795,Camas WA,
12796,Camas WA,
12797,Vancouver B.C,
12798,"Portland, OR",
12799,"San Diego, California",
12800,Camas WA,
12801,"Vancouver, WA",
12802,Camas WA,
12803,"Portland, OR",
